country,business_name,is_tax_registered,tax_number,address_1,address_2,city,postal_code,email,mobile
China,Aivee,false,15,9132 Veith Park,Apt 1181,Shuanghe,,mmcinally0@discuz.net,4207716999
Philippines,Realcube,false,15,7773 Ridgeway Drive,Suite 43,Alupay,3201,jbabber1@globo.com,8094833331
Philippines,Skyndu,false,15,635 Northridge Street,PO Box 7222,Tumbagaan,1114,mmaccosty2@google.co.jp,8464041311
Poland,Bubblemix,true,15,2 Mandrake Point,Room 653,Osiek,87-340,ppretious3@google.ca,4705022377
Philippines,Realpoint,true,15,6 Dorton Place,Apt 1490,San Isidro,8421,capril4@engadget.com,6754469064
France,Leexo,false,15,75520 Fordem Center,Apt 1209,Claye-Souilly,77414 CEDEX,wgewer5@washington.edu,9025593417
Russia,BlogXS,false,15,630 Blue Bill Park Point,19th Floor,Tomsk,634069,dfallowes6@blinklist.com,8837627818
Philippines,Thoughtblab,false,15,94 Harbort Junction,PO Box 56318,Calizo,5610,dprobert7@sourceforge.net,3794460300
Russia,Talane,false,15,6 Welch Pass,Room 97,Kanash,429337,gbarnfield8@ed.gov,1838030497
United Kingdom,Wordify,false,15,4452 Loeprich Trail,Apt 451,Upton,DN21,csindle9@webeden.co.uk,6942788564
China,Skyndu,false,15,3 Porter Point,PO Box 84605,Shuikou,,bautriea@washingtonpost.com,4311418026
Tunisia,Quatz,true,15,0943 Warner Center,Apt 1038,Qaşr Hallāl,,frosewarneb@intel.com,8325306544
Poland,Yodo,true,15,684 Johnson Terrace,PO Box 37871,Mnich,43-523,jkelceyc@ameblo.jp,5733625602
Sweden,LiveZ,false,15,9 Debra Hill,5th Floor,Örnsköldsvik,891 25,cjaslemd@sina.com.cn,5254655838
Indonesia,Shufflebeat,true,15,67390 Golden Leaf Plaza,PO Box 16183,Sungayang,,bbuckhurste@toplist.cz,4265073823
China,Photolist,false,15,860 Hudson Junction,Room 498,Zhongmen,,aquimbyf@feedburner.com,6868852872
China,Thoughtsphere,true,15,407 Sunfield Park,Room 621,Tonglin,,kjointg@mapy.cz,4922701405
Yemen,Skidoo,false,15,73465 Westridge Point,Apt 1552,Şuwayr,,abeddoh@myspace.com,6849157603
China,Skinte,true,15,07525 Onsgard Center,Suite 42,Huogezhuang,,alinniti@elegantthemes.com,2153281064
Greece,Digitube,false,15,008 6th Road,Apt 621,Mílos,,bmeatyardj@desdev.cn,1595762309
Azerbaijan,Fliptune,true,15,15953 West Court,Apt 730,Salyan,,aroddickk@netscape.com,2185426929
Albania,Realblab,false,15,502 Sloan Circle,PO Box 59999,Pishaj,,bdestouchel@wiley.com,7318934485
Ukraine,Photobean,false,15,4 Crowley Street,Room 359,Zdolbuniv,,mphalipm@amazon.co.uk,8304137207
China,Topicstorm,false,15,1 Esch Drive,20th Floor,Jijiazhuang,,comandn@ucla.edu,9349908158
Azerbaijan,Oloo,true,15,415 Park Meadow Court,Apt 11,Quba,,jgantzmano@cisco.com,5176471882
Indonesia,Buzzdog,false,15,1914 Morningstar Plaza,17th Floor,Bayan,,acapehornp@japanpost.jp,7553829350
Brazil,Fivechat,true,15,16873 Huxley Pass,PO Box 37476,Taboão da Serra,06750-000,dlancettq@msn.com,4122073362
Philippines,Jaxworks,false,15,3884 Doe Crossing Drive,Room 1803,Zamboanguita,1812,vdewfallr@nytimes.com,2055809291
China,Skyba,false,15,83347 Haas Circle,Apt 1630,Shuangta,,tbickardikes@tuttocitta.it,5418985837
Indonesia,Wordify,false,15,467 Continental Way,Apt 1059,Ciakar,,nspellmant@ucsd.edu,7596681625
Norway,Mycat,true,15,6 Onsgard Point,14th Floor,Oslo,0403,psoughtonu@usgs.gov,6076880736
Nigeria,Miboo,false,15,45210 Utah Road,PO Box 92358,Sauri,,mphilippv@artisteer.com,9252955744
Indonesia,Brightdog,true,15,7688 Nancy Lane,PO Box 54235,Mojokerto,,mdollarw@devhub.com,9067232438
Malaysia,Lajo,true,15,3 Lighthouse Bay Road,Apt 325,Kota Bharu,15572,hmorrissx@fastcompany.com,5089259341
Peru,Edgeify,false,15,81463 Hoepker Point,PO Box 56512,Huanoquite,,gdobsonsy@census.gov,9963475169
China,Tagcat,false,15,5322 Pankratz Lane,Apt 694,Hengxianhe,,dfilippazzoz@wix.com,1515144614
Indonesia,Quinu,false,15,2036 Waywood Plaza,Suite 10,Ciburial,,tpadfield10@rediff.com,9562545583
China,Mynte,true,15,6 Russell Junction,PO Box 43984,Xiacang,,rferentz11@csmonitor.com,8691462955
Philippines,Edgepulse,false,15,515 Manley Crossing,Apt 173,Calatrava,6126,tgadson12@admin.ch,6315778157
Bosnia and Herzegovina,Blogtag,false,15,35 Granby Lane,Room 820,Velika Kladuša,,sdunnet13@aol.com,2927819573
Poland,Brainbox,false,15,4 Haas Circle,PO Box 4416,Biała Piska,12-230,gwitherby14@nymag.com,7836774998
China,DabZ,true,15,95 Comanche Junction,3rd Floor,Tangzhai,,dbliss15@topsy.com,6228416475
France,Jaxworks,false,15,03 Maple Wood Crossing,20th Floor,Coulommiers,77529 CEDEX,ccozby16@fotki.com,6743033936
Russia,Edgetag,false,15,35 Daystar Hill,Room 144,Kraskino,692715,jdeme17@cisco.com,5763814894
Cambodia,Demivee,false,15,43684 Glendale Lane,Suite 21,Prey Veng,,mboothjarvis18@bloomberg.com,1403694174
Kyrgyzstan,Eazzy,true,15,84 Hanover Center,Apt 414,Ala-Buka,,ainfante19@un.org,5009309336
Afghanistan,Zoomcast,false,15,66952 Sunnyside Junction,Apt 97,Manogay,,mlyons1a@seesaa.net,5679066227
Argentina,Janyx,true,15,5035 Mitchell Parkway,PO Box 23319,Formosa,3600,btorbeck1b@over-blog.com,7595801943
Russia,Wikido,true,15,89179 Dixon Parkway,Apt 322,Sudzha,307831,cbloxland1c@buzzfeed.com,3531702871
Colombia,Myworks,true,15,84 Victoria Plaza,PO Box 22439,Pupiales,524528,cambridge1d@biblegateway.com,4546494539
Philippines,Yamia,true,15,383 Straubel Lane,Suite 29,Laoag,4207,marnaut1e@gizmodo.com,1511969957
